,target,target_loc,ligand,ligand_loc,Exp. dG,Pred. dG,Pred. Error
pfkfb3_43,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,43,../data/pfkfb3/pfkfb3_ligand_43.pdb,-8.0,-8.82,0.11
pfkfb3_30,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,30,../data/pfkfb3/pfkfb3_ligand_30.pdb,-9.2,-9.41,0.1
pfkfb3_65,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,65,../data/pfkfb3/pfkfb3_ligand_65.pdb,-9.49,-9.34,0.09
pfkfb3_49,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,49,../data/pfkfb3/pfkfb3_ligand_49.pdb,-7.93,-6.68,0.1
pfkfb3_24,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,24,../data/pfkfb3/pfkfb3_ligand_24.pdb,-8.87,-9.79,0.11
pfkfb3_67,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,67,../data/pfkfb3/pfkfb3_ligand_67.pdb,-10.24,-10.57,0.09
pfkfb3_62,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,62,../data/pfkfb3/pfkfb3_ligand_62.pdb,-7.69,-6.28,0.11
pfkfb3_56,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,56,../data/pfkfb3/pfkfb3_ligand_56.pdb,-10.57,-11.72,0.1
pfkfb3_59,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,59,../data/pfkfb3/pfkfb3_ligand_59.pdb,-8.12,-6.95,0.1
pfkfb3_38,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,38,../data/pfkfb3/pfkfb3_ligand_38.pdb,-8.76,-7.23,0.1
pfkfb3_31,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,31,../data/pfkfb3/pfkfb3_ligand_31.pdb,-9.28,-10.4,0.11
pfkfb3_48,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,48,../data/pfkfb3/pfkfb3_ligand_48.pdb,-8.01,-6.78,0.1
pfkfb3_58,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,58,../data/pfkfb3/pfkfb3_ligand_58.pdb,-9.13,-8.36,0.1
pfkfb3_41,pfkfb3,../data/pfkfb3/6hvi_prepared.pdb,41,../data/pfkfb3/pfkfb3_ligand_41.pdb,-7.39,-7.65,0.1
