system,Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error
pfkfb3,43,48,-0.01,2.12,0.07,2.12,0.12
pfkfb3,43,44,-1.95,0.28,0.06,0.28,0.12
pfkfb3,30,56,-1.37,-2.6,0.22,-2.37,0.63
pfkfb3,30,70,-1.11,-0.87,0.2,-1.1,0.63
pfkfb3,65,34,-0.48,-1.73,0.21,-1.8,0.31
pfkfb3,65,70,-0.82,-1.95,0.09,-1.61,0.64
pfkfb3,65,64,0.07,0.35,0.13,0.11,0.63
pfkfb3,65,63,0.93,1.19,0.07,1.17,0.64
pfkfb3,65,20,0.97,2.09,0.1,2.07,0.18
pfkfb3,49,58,-1.2,-2.06,0.07,-1.98,0.08
pfkfb3,49,42,-0.53,-1.36,0.11,-1.44,0.12
pfkfb3,49,44,-2.01,-1.98,0.06,-1.98,0.12
pfkfb3,24,69,-1.84,-1.53,0.18,-1.58,0.4
pfkfb3,24,70,-1.43,-0.51,0.15,-0.53,0.4
pfkfb3,24,34,-1.1,-0.79,0.13,-0.72,0.31
pfkfb3,67,56,-0.32,-1.17,0.12,-1.45,0.63
pfkfb3,67,57,-0.23,-0.7,0.12,-0.65,0.37
pfkfb3,67,64,0.82,1.31,0.16,1.55,0.63
pfkfb3,62,70,-2.61,-4.53,0.04,-4.2,0.55
pfkfb3,62,31,-1.59,-4.21,0.2,-4.54,0.55
pfkfb3,56,69,-0.15,0.28,0.09,0.22,0.3
pfkfb3,59,35,-2.02,-4.13,0.11,-4.23,0.11
pfkfb3,59,52,-2.28,-2.41,0.14,-2.38,0.14
pfkfb3,59,47,-0.22,0.85,0.1,0.92,0.1
pfkfb3,38,26,-0.41,-1.85,0.13,-1.9,0.21
pfkfb3,38,41,1.37,-0.49,0.08,-0.57,0.21
pfkfb3,38,39,1.56,1.97,0.15,2.1,0.18
pfkfb3,31,19,1.73,2.88,0.13,2.55,0.55
pfkfb3,48,47,-0.33,0.83,0.06,0.71,0.14
pfkfb3,48,20,-0.51,-0.67,0.09,-0.55,0.14
pfkfb3,58,68,-0.65,-2.9,0.1,-3.05,0.49
pfkfb3,58,60,0.99,0.34,0.15,0.62,0.49
pfkfb3,58,63,0.57,0.45,0.04,0.41,0.43
pfkfb3,41,44,-2.56,-0.13,0.07,-0.21,0.21
pfkfb3,29,54,1.47,2.43,0.13,2.38,0.49
pfkfb3,29,63,1.08,2.17,0.14,1.95,0.76
pfkfb3,29,70,-0.66,-1.23,0.11,-0.83,0.76
pfkfb3,29,23,1.73,1.04,0.12,0.91,0.49
pfkfb3,54,36,0.74,-0.99,0.2,-0.71,0.76
pfkfb3,54,70,-2.12,-2.88,0.09,-3.21,0.76
pfkfb3,47,46,0.47,-0.17,0.07,-0.21,0.07
pfkfb3,47,20,-0.18,-1.25,0.12,-1.26,0.14
pfkfb3,26,69,-1.55,-2.15,0.16,-2.3,0.49
pfkfb3,26,70,-1.13,-1.36,0.18,-1.25,0.49
pfkfb3,55,63,2.07,4.62,0.1,4.43,0.49
pfkfb3,55,23,2.72,3.2,0.13,3.39,0.49
pfkfb3,20,39,1.32,1.57,0.09,1.58,0.18
pfkfb3,20,42,0.05,-0.85,0.08,-0.77,0.12
pfkfb3,57,70,0.17,0.43,0.05,0.48,0.37
pfkfb3,35,69,-0.58,-0.74,0.06,-0.84,0.1
pfkfb3,44,68,0.17,-2.98,0.06,-3.06,0.21
pfkfb3,63,36,1.12,0.19,0.24,-0.28,0.76
pfkfb3,69,53,3.72,3.79,0.11,3.89,0.37
pfkfb3,69,23,2.8,2.98,0.13,2.8,0.39
pfkfb3,69,60,2.57,4.32,0.2,4.04,0.49
pfkfb3,52,53,3.4,1.31,0.05,1.21,0.13
pfkfb3,52,19,2.84,0.5,0.13,0.59,0.13
pfkfb3,52,46,2.54,3.05,0.07,3.09,0.07
pfkfb3,19,37,-2.45,-3.9,0.19,-4.03,0.19
pfkfb3,19,70,-2.75,-2.11,0.17,-2.22,0.55
pfkfb3,68,70,-0.53,0.91,0.11,0.68,0.49
pfkfb3,68,53,2.78,3.53,0.16,3.52,0.37
pfkfb3,33,23,0.69,1.39,0.1,1.51,0.47
pfkfb3,33,36,1.17,2.06,0.22,2.26,0.72
pfkfb3,33,70,-1.7,0.07,0.11,-0.24,0.72
pfkfb3,39,37,-2.8,-7.2,0.2,-7.07,0.2
cdk8,43,38,0.54,-0.49,0.08,-1.05,0.73
cdk8,43,42,0.41,1.0,0.18,1.03,0.73
cdk8,43,45,0.74,-0.27,0.2,0.26,0.53
cdk8,17,16,-0.3,-1.04,0.07,-1.2,0.28
cdk8,17,25,-0.8,-4.56,0.3,-4.02,0.54
cdk8,17,45,-2.19,-3.3,0.21,-3.68,0.38
cdk8,28,25,-3.57,-0.77,0.23,-1.38,0.94
cdk8,28,30,-5.46,-2.75,0.25,-2.45,0.94
cdk8,28,39,-5.29,-2.93,0.23,-2.62,0.93
cdk8,22,21,0.53,-0.15,0.11,0.07,0.86
cdk8,22,26,0.07,0.07,0.25,0.49,0.95
cdk8,22,32,0.73,0.73,0.22,0.09,0.95
cdk8,16,14,0.95,0.96,0.11,0.98,0.51
cdk8,16,15,1.59,1.7,0.08,1.77,0.4
cdk8,16,20,-1.4,-1.06,0.16,-1.66,0.86
cdk8,16,19,-1.44,-1.81,0.09,-1.46,0.86
cdk8,30,33,0.58,1.8,0.19,2.34,0.94
cdk8,30,37,0.17,-0.95,0.18,-1.19,0.38
cdk8,21,20,-0.94,-0.89,0.25,-0.49,0.86
cdk8,21,41,-1.52,-3.51,0.25,-3.14,0.95
cdk8,21,29,0.5,-0.96,0.22,-1.1,0.95
cdk8,21,26,-0.46,0.85,0.41,0.43,0.95
cdk8,24,42,-1.17,-2.7,0.3,-2.67,0.73
cdk8,24,33,-0.76,-2.49,0.24,-2.52,0.73
cdk8,38,29,2.12,2.09,0.21,1.53,0.73
cdk8,31,25,2.13,2.67,0.27,2.04,0.63
cdk8,31,37,0.41,-0.86,0.14,-0.23,0.63
cdk8,41,39,-0.24,0.17,0.1,0.24,0.95
cdk8,41,40,0.09,0.19,0.09,0.49,0.85
cdk8,29,33,-1.84,1.41,0.39,0.71,0.95
cdk8,20,35,-0.82,-1.83,0.2,-2.03,0.35
cdk8,42,13,0.24,-0.38,0.14,-0.32,0.42
cdk8,35,18,0.54,3.4,0.13,3.55,0.35
cdk8,35,27,3.04,0.24,0.29,0.21,0.29
cdk8,35,37,0.0,-1.02,0.12,-1.41,0.39
cdk8,35,36,0.24,-0.26,0.16,-0.19,0.38
cdk8,44,32,1.96,2.15,0.22,2.26,0.65
cdk8,44,36,0.24,-0.36,0.25,-0.47,0.65
cdk8,18,13,-0.3,-2.25,0.25,-1.89,0.42
cdk8,18,15,3.27,1.97,0.1,1.9,0.4
cdk8,18,45,-0.21,-2.2,0.16,-2.35,0.42
cdk8,40,19,0.45,2.12,0.14,2.36,0.94
cdk8,40,33,0.08,2.2,0.19,2.26,0.94
cdk8,19,32,1.18,0.41,0.16,0.31,0.93
cdk8,19,25,0.94,-2.05,0.3,-1.36,0.94
cdk8,33,32,1.55,1.06,0.23,0.4,1.29
cdk8,33,34,-0.08,-2.37,0.13,-1.84,1.29
cdk8,27,36,-2.8,-0.37,0.4,-0.4,0.4
cdk8,13,14,2.93,2.59,0.23,3.01,0.42
cdk8,39,32,1.96,2.53,0.19,2.91,0.95
cdk8,32,23,0.53,2.36,0.31,1.45,1.29
cdk8,23,14,0.67,1.13,0.51,0.69,0.51
cdk8,23,34,-2.16,-3.22,0.28,-3.69,1.29
cdk8,34,36,-0.09,-0.54,0.15,-0.48,0.65
shp2,SHP099-1_Example_7,Example_8,0.04,0.14,0.16,-0.14,0.96
shp2,SHP099-1_Example_7,Example_14,-0.03,0.16,0.54,-0.06,0.8
shp2,SHP099-1_Example_7,Example_1,0.76,0.12,0.09,0.72,0.99
shp2,SHP099-1_Example_7,Example_30,0.6,0.6,0.15,0.56,0.27
shp2,SHP099-1_Example_7,Example_5,2.19,4.28,0.16,4.56,0.96
shp2,SHP099-1_Example_7,Example_28,1.3,1.23,0.1,1.0,0.64
shp2,SHP099-1_Example_7,10,2.6,2.29,0.08,2.32,0.08
shp2,SHP099-1_Example_7,Example_23,1.01,1.28,0.11,0.93,0.99
shp2,SHP099-1_Example_7,Example_25,0.88,1.92,0.14,1.98,0.53
shp2,SHP099-1_Example_7,Example_24,0.68,1.58,0.12,1.74,0.78
shp2,Example_22,Example_23,0.5,0.32,0.09,0.67,0.99
shp2,Example_22,7,2.16,0.92,0.41,0.57,0.99
shp2,Example_29,11,1.27,0.71,0.27,0.71,0.27
shp2,11,Example_6,-2.72,-4.16,0.37,-4.12,0.54
shp2,11,7,-0.72,-3.24,0.49,-3.28,0.54
shp2,4,Example_5,-1.74,1.29,0.17,1.76,0.97
shp2,4,Example_27,-2.7,-2.43,0.12,-2.44,0.75
shp2,4,SHP836-2,-0.89,-0.85,0.11,-1.31,0.97
shp2,Example_2,Example_23,-0.46,-1.02,0.12,-0.81,0.79
shp2,Example_2,Example_4,0.08,0.84,0.15,0.63,0.79
shp2,Example_14,7,2.7,1.09,0.18,0.9,0.8
shp2,Example_14,6,1.75,0.72,0.22,0.69,0.64
shp2,Example_26,Example_25,0.09,1.85,0.22,1.85,0.22
shp2,SHP836-2,Example_5,-0.85,3.82,0.2,3.07,0.97
