system,distance,prot_chain,prot_resid,prot_atom,lig_resid,lig_atom
pfkfb3_41,1.1795123,A,214,CG2,1,F3
pfkfb3_41,1.4091825,A,214,HG21,1,C21
pfkfb3_41,0.6047291,A,214,HG21,1,F3
pfkfb3_20,1.4036627,A,214,CG2,1,H17
pfkfb3_20,1.4417672,A,214,HG21,1,C21
pfkfb3_20,0.51002294,A,214,HG21,1,H17
pfkfb3_42,1.4451731,A,214,CG2,1,H17
pfkfb3_42,1.376312,A,214,HG21,1,C21
pfkfb3_42,0.38101536,A,214,HG21,1,H17
cdk8_17,1.401749,A,28,HA3,1,H16
cdk8_28,1.3423672,A,52,HZ3,1,H18
cdk8_23,1.1723491,A,52,HZ3,1,H16
shp2_11,1.2981753,A,250,HG2,1,H21
shp2_4,1.2578028,A,114,CE1,1,H14
shp2_4,1.2967999,A,249,HG2,1,H17
shp2_SHP836-2,1.2576909,A,114,CE1,1,H14
shp2_SHP836-2,1.2976103,A,249,HG2,1,H17
shp2_3,1.2573684,A,114,CE1,1,H15
shp2_3,1.2977725,A,249,HG2,1,H18
shp2_Example_28,0.99345785,A,492,HB2,1,H20
shp2_Example_27,1.2577838,A,114,CE1,1,H13
shp2_Example_27,1.298583,A,249,HG2,1,H16
shp2_Example_5,1.0188395,A,492,HA,1,H15
syk_CHEMBL3264999,1.3003691,A,457,HD22,1,H19
syk_CHEMBL3264999,1.3077631,A,457,HD22,1,H20
syk_CHEMBL3265036,1.3087001,A,458,HZ2,1,H10
syk_CHEMBL3265033,1.3306587,A,458,HZ2,1,H4
syk_CHEMBL3264994,1.3852676,A,458,HZ1,1,H4
syk_CHEMBL3264994,1.3330437,A,458,HZ1,1,H5
syk_CHEMBL3264994,1.0635538,A,458,HZ2,1,H6
syk_CHEMBL3265031,1.2990351,A,458,HZ2,1,H10
syk_CHEMBL3265037,1.2899891,A,458,HZ2,1,H16
syk_CHEMBL3265003,1.1263477,A,457,HD22,1,H21
syk_CHEMBL3265035,1.3299394,A,458,HZ2,1,H5
syk_CHEMBL3265004,0.56803554,A,457,HD22,1,H21
syk_CHEMBL3265000,1.2122477,A,457,CG,1,H21
syk_CHEMBL3265000,1.0175371,A,457,ND2,1,C26
syk_CHEMBL3265000,1.2941476,A,457,ND2,1,H20
syk_CHEMBL3265000,0.7716278,A,457,ND2,1,H21
syk_CHEMBL3265000,1.4690026,A,457,HD22,1,N6
syk_CHEMBL3265000,0.5520091,A,457,HD21,1,C26
syk_CHEMBL3265000,1.1642056,A,457,HD21,1,H19
syk_CHEMBL3265000,0.90537655,A,457,HD21,1,H20
syk_CHEMBL3265000,1.0716107,A,457,HD21,1,H21
tnks2_3a,1.1702254,A,1035,HE2,1,H18
tnks2_8c,1.353318,A,1034,HG3,1,H12
tnks2_8c,1.4068198,A,1034,HD2,1,H9
tnks2_8c,1.4122133,A,1035,CE2,1,H18
tnks2_8c,1.2282437,A,1035,CZ,1,H13
tnks2_8c,1.0120488,A,1035,HE2,1,C18
tnks2_8c,0.5996819,A,1035,HE2,1,H15
tnks2_8c,1.0647279,A,1035,HZ,1,H13
tnks2_5o,1.4499606,A,1034,HD2,1,H8
tnks2_5o,1.3091441,A,1035,HE2,1,H13
tnks2_5o,1.4428307,A,1050,HA,1,H21
cmet_CHEMBL3402748_5300,1.3955146,A,1084,HB,1,H15
eg5_CHEMBL1084431,1.4067987,A,116,OE2,1,H10
eg5_CHEMBL1084143,1.3103592,A,121,HB2,1,H24
eg5_CHEMBL1084143,1.4360801,A,160,HD22,1,H2
